Year,Low,Moderate,High,Unburned,Increased greenness
1984,690251.319,176837.7034,63765.71628,281675.5215,11860.31692
1985,1531844.774,728299.5182,249636.2086,554253.0924,24516.36259
1986,970290.2369,423514.5038,108403.0298,290982.3009,6275.315257
1987,1079798.569,428012.8843,204389.3108,536909.8531,19999.52335
1988,1592784.742,877961.4615,821348.6305,1035919.844,38232.34208
1989,830229.5237,234091.0315,145706.4286,231872.643,7547.413753
1990,920435.0956,579493.1278,465558.2487,369188.559,9373.497801
1991,870627.5467,418803.9587,159416.1811,343938.7382,6987.645936
1992,658048.1011,206321.922,110449.5071,324387.1181,13331.01401
1993,657178.3149,338056.1723,113410.9169,227624.2343,14344.24491
1994,1287831.375,730522.577,380749.0877,710255.5127,28128.72201
1995,634847.204,324509.4353,67056.49276,206662.4085,3921.933039
1996,2441079.398,1126994.98,355582.4426,879077.8836,20263.72842
1997,304636.4546,96904.77169,29399.70853,129172.9289,29617.65548
1998,836171.0243,240544.9298,124357.4134,296708.7456,4983.646014
1999,2487092.891,1086560.929,449025.861,905183.0349,30958.69638
2000,2593473.907,1252891.811,843415.0915,1425546.045,28901.76648
2001,1182885.473,537930.6454,226008.091,547042.3845,5857.657743
2002,1893047.135,1605576.671,1125698.196,1027708.36,24528.14952
2003,1119227.395,781719.8712,638680.1791,742743.6184,26076.6848
2004,2037534.839,2133084.559,763182.8163,1398155.006,91187.66749
2005,2741001.082,2079681.998,1560052.002,1486037.442,63683.43019
2006,3505413.52,1788055.197,657088.245,1451275.126,37672.57426
2007,2810690.73,1710616.201,1192303.227,1675599.911,63685.43174
2008,1762518.709,799011.5149,296179.6683,753588.258,15045.23346
2009,1408370.713,921400.734,578111.3887,516768.8866,14594.43911
2010,1124973.411,406182.6066,206652.1783,295993.9686,5750.908219
2011,4613578.996,1480166.44,411400.4344,1083603.522,28799.46485
2012,3812895.961,1530241.308,680169.0489,1250872.688,25285.18156
2013,1363502.332,948714.1565,669574.381,473165.2643,12188.34932
2014,1469309.791,576967.8344,367597.3239,378919.8901,5107.742336
2015,2992050.165,2299628.495,1972690.731,1155473.084,45217.76407
2016,2337993.607,777186.5747,378262.2686,586477.8826,36535.24704
2017,5162824.423,1557993.515,824142.7993,1221016.625,28834.82563
2018,3954227.438,1827161.106,688840.8909,854884.6607,18261.06287
2019,2053465.872,1183990.33,316859.7199,508680.831,14828.17609
2020,4460224.853,2250083.372,1602473.151,1246523.312,25361.46299
